game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0354,1,03:47,TOR,11.0,CHA,18.0,P. Achiuwa,TOR,Achiuwa 6' Turnaround Jump Shot (2 PTS) (Trent Jr. 1 AST),Made Shot,Turnaround Jump Shot,25,53,6,1,2.0,2.0,h
S2324-G0354,1,00:50.100000,TOR,,CHA,,P. Achiuwa,TOR,Achiuwa S.FOUL (P1.T2) (J.Goble),Foul,Shooting,0,0,0,0,,,h
S2324-G0354,2,11:06,TOR,,CHA,,P. Achiuwa,TOR,Achiuwa STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0354,2,10:53,TOR,,CHA,,P. Achiuwa,TOR,MISS Achiuwa 13' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,116,57,13,1,2.0,0.0,h
S2324-G0354,2,10:38,TOR,,CHA,,P. Achiuwa,TOR,Achiuwa REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,2,10:38,TOR,23.0,CHA,30.0,P. Achiuwa,TOR,Achiuwa Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,0,0,0,1,2.0,2.0,h
S2324-G0354,2,07:46,TOR,,CHA,,P. Achiuwa,TOR,Achiuwa REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,2,07:38,TOR,,CHA,,P. Achiuwa,TOR,Achiuwa REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,2,07:38,TOR,,CHA,,P. Achiuwa,TOR,MISS Achiuwa 2' Putback Layup,Missed Shot,Putback Layup Shot,-16,5,2,1,2.0,0.0,h
S2324-G0354,2,07:34,TOR,,CHA,,P. Achiuwa,TOR,MISS Achiuwa 26' 3PT Jump Shot,Missed Shot,Jump Shot,-87,247,26,1,3.0,0.0,h
S2324-G0354,2,07:21,TOR,,CHA,,P. Achiuwa,TOR,SUB: Poeltl FOR Achiuwa,Substitution,,0,0,0,0,,,h
S2324-G0354,3,02:53,TOR,73.0,CHA,72.0,P. Achiuwa,TOR,Achiuwa 2' Cutting Layup Shot (6 PTS) (Schroder 4 AST),Made Shot,Cutting Layup Shot,5,18,2,1,2.0,2.0,h
S2324-G0354,4,10:56,TOR,,CHA,,P. Achiuwa,TOR,Achiuwa REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,4,10:53,TOR,,CHA,,P. Achiuwa,TOR,MISS Achiuwa 6' Turnaround Bank Hook Shot,Missed Shot,Turnaround Bank Hook Shot,43,47,6,1,2.0,0.0,h
S2324-G0354,4,09:49,TOR,,CHA,,P. Achiuwa,TOR,Achiuwa REBOUND (Off:4 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,4,09:47,TOR,84.0,CHA,85.0,P. Achiuwa,TOR,Achiuwa Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0354,4,09:47,TOR,85.0,CHA,85.0,P. Achiuwa,TOR,Achiuwa Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0354,4,09:13,TOR,,CHA,,P. Achiuwa,TOR,MISS Achiuwa Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2324-G0354,4,09:13,TOR,,CHA,,P. Achiuwa,TOR,MISS Achiuwa Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G0354,4,08:52,TOR,,CHA,,P. Achiuwa,TOR,Achiuwa REBOUND (Off:4 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,4,08:45,TOR,88.0,CHA,85.0,P. Achiuwa,TOR,Achiuwa 7' Driving Floating Jump Shot (10 PTS),Made Shot,Driving Floating Jump Shot,-12,73,7,1,2.0,2.0,h
S2324-G0354,4,07:03,TOR,,CHA,,P. Achiuwa,TOR,Achiuwa REBOUND (Off:5 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,4,07:03,TOR,95.0,CHA,87.0,P. Achiuwa,TOR,Achiuwa Putback Dunk (12 PTS),Made Shot,Putback Dunk Shot,0,0,0,1,2.0,2.0,h
S2324-G0354,4,07:03,TOR,,CHA,,P. Achiuwa,TOR,SUB: Siakam FOR Achiuwa,Substitution,,0,0,0,0,,,h
S2324-G0211,1,01:11,TOR,28.0,DET,20.0,P. Achiuwa,TOR,Achiuwa 26' 3PT Jump Shot (3 PTS) (Barnes 1 AST),Made Shot,Jump Shot,-20,256,26,1,3.0,3.0,h
