game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,1,11:02,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 24' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,81,229,24,1,3.0,0.0,h
S2425-G0074,1,09:52,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-97,231,25,1,3.0,0.0,h
S2425-G0074,1,09:37,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,09:37,DAL,,SAS,,L. Dončić,DAL,Dončić Bad Pass Turnover (P1.T1),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0074,1,09:27,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,09:09,DAL,,SAS,,L. Dončić,DAL,Dončić Violation:Kicked Ball (J.Goldenberg),Violation,Kicked Ball,0,0,0,0,,,h
S2425-G0074,1,07:16,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 4' Running Layup,Missed Shot,Running Layup Shot,25,34,4,1,2.0,0.0,h
S2425-G0074,1,06:31,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,05:53,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 18' Step Back Jump Shot,Missed Shot,Step Back Jump shot,4,177,18,1,2.0,0.0,h
S2425-G0074,1,04:59,DAL,15.0,SAS,18.0,L. Dončić,DAL,Dončić 2' Driving Finger Roll Layup (2 PTS),Made Shot,Driving Finger Roll Layup Shot,21,5,2,1,2.0,2.0,h
S2425-G0074,1,04:23,DAL,,SAS,,L. Dončić,DAL,MISS Dončić Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0074,1,04:23,DAL,16.0,SAS,20.0,L. Dončić,DAL,Dončić Free Throw 2 of 2 (3 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0074,1,04:11,DAL,,SAS,,L. Dončić,DAL,SUB: Irving FOR Dončić,Substitution,,0,0,0,0,,,h
S2425-G0074,2,11:44,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 9' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,67,63,9,1,2.0,0.0,h
S2425-G0074,2,11:30,DAL,,SAS,,L. Dončić,DAL,Dončić BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0074,2,10:17,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,2,09:38,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 16' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-110,110,16,1,2.0,0.0,h
S2425-G0074,2,08:33,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 2' Driving Layup,Missed Shot,Driving Layup Shot,22,6,2,1,2.0,0.0,h
S2425-G0074,2,08:05,DAL,27.0,SAS,28.0,L. Dončić,DAL,Dončić 8' Driving Floating Bank Jump Shot (5 PTS),Made Shot,Driving Floating Bank Jump Shot,76,30,8,1,2.0,2.0,h
S2425-G0074,2,06:47,DAL,30.0,SAS,33.0,L. Dončić,DAL,Dončić 19' Fadeaway Jumper (7 PTS) (Lively II 1 AST),Made Shot,Fadeaway Jump Shot,163,95,19,1,2.0,2.0,h
S2425-G0074,2,06:14,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,72,252,26,1,3.0,0.0,h
S2425-G0074,2,05:59,DAL,,SAS,,L. Dončić,DAL,SUB: Marshall FOR Dončić,Substitution,,0,0,0,0,,,h
S2425-G0074,2,03:45,DAL,40.0,SAS,40.0,L. Dončić,DAL,Dončić 3' Driving Finger Roll Layup (9 PTS),Made Shot,Driving Finger Roll Layup Shot,28,14,3,1,2.0,2.0,h
S2425-G0074,2,02:24,DAL,,SAS,,L. Dončić,DAL,Dončić STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0074,2,01:56,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,121,231,26,1,3.0,0.0,h
S2425-G0074,2,01:01,DAL,,SAS,,L. Dončić,DAL,Dončić L.B.FOUL (P1.T4) (R.Mott),Foul,Loose Ball,0,0,0,0,,,h
S2425-G0074,2,00:21.800000,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,100,243,26,1,3.0,0.0,h
S2425-G0074,3,11:47,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 17' Step Back Jump Shot,Missed Shot,Step Back Jump shot,-66,162,17,1,2.0,0.0,h
S2425-G0074,3,08:50,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,3,08:36,DAL,61.0,SAS,53.0,L. Dončić,DAL,Dončić 27' 3PT Step Back Jump Shot (12 PTS),Made Shot,Step Back Jump shot,-135,238,27,1,3.0,3.0,h
S2425-G0074,3,08:31,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 2' Layup,Missed Shot,Layup Shot,18,12,2,1,2.0,0.0,h
S2425-G0074,3,07:57,DAL,,SAS,,L. Dončić,DAL,Dončić Bad Pass Turnover (P2.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0074,3,07:18,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,3,06:35,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,103,244,26,1,3.0,0.0,h
S2425-G0074,3,04:08,DAL,72.0,SAS,68.0,L. Dončić,DAL,Dončić Free Throw 1 of 2 (13 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0074,3,04:08,DAL,,SAS,,L. Dončić,DAL,MISS Dončić Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0074,3,03:58,DAL,73.0,SAS,70.0,L. Dončić,DAL,Dončić Free Throw 1 of 2 (14 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0074,3,03:58,DAL,74.0,SAS,70.0,L. Dončić,DAL,Dončić Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0074,3,03:26,DAL,76.0,SAS,72.0,L. Dončić,DAL,Dončić 3' Driving Finger Roll Layup (17 PTS) (Lively II 2 AST),Made Shot,Driving Finger Roll Layup Shot,29,10,3,1,2.0,2.0,h
S2425-G0074,3,03:22,DAL,,SAS,,L. Dončić,DAL,SUB: Irving FOR Dončić,Substitution,,0,0,0,0,,,h
S2425-G0074,4,10:51,DAL,94.0,SAS,83.0,L. Dončić,DAL,Dončić 26' 3PT Step Back Jump Shot (20 PTS) (Lively II 4 AST),Made Shot,Step Back Jump shot,-16,259,26,1,3.0,3.0,h
S2425-G0074,4,10:41,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,4,09:48,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,4,09:44,DAL,100.0,SAS,83.0,L. Dončić,DAL,Dončić 26' 3PT Running Pull-Up Jump Shot (23 PTS),Made Shot,Running Pull-Up Jump Shot,-27,259,26,1,3.0,3.0,h
S2425-G0074,4,09:20,DAL,,SAS,,L. Dončić,DAL,Dončić Out of Bounds - Bad Pass Turnover Turnover (P3.T8),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,h
S2425-G0074,4,08:49,DAL,103.0,SAS,83.0,L. Dončić,DAL,Dončić 25' 3PT Step Back Jump Shot (26 PTS) (Lively II 5 AST),Made Shot,Step Back Jump shot,93,237,25,1,3.0,3.0,h
S2425-G0074,4,07:31,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,140,55,15,1,2.0,0.0,h
S2425-G0074,4,07:26,DAL,,SAS,,L. Dončić,DAL,Dončić P.FOUL (P2.T4) (J.Goldenberg),Foul,Personal,0,0,0,0,,,h
S2425-G0074,4,07:16,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:0 Def:9),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,4,06:50,DAL,,SAS,,L. Dončić,DAL,MISS Dončić 7' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,64,18,7,1,2.0,0.0,h
S2425-G0074,4,06:47,DAL,,SAS,,L. Dončić,DAL,Dončić REBOUND (Off:1 Def:9),Rebound,Unknown,0,0,0,0,,,h
