game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0147,1,02:51,WAS,,MIA,,J. Butler,WAS,MISS Butler Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2425-G0147,1,02:51,WAS,13.0,MIA,27.0,J. Butler,WAS,Butler Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0147,1,00:41.700000,WAS,19.0,MIA,31.0,J. Butler,WAS,Butler 3' Floating Jump Shot (3 PTS),Made Shot,Floating Jump shot,-26,13,3,1,2.0,2.0,h
S2425-G0147,1,00:24.100000,WAS,21.0,MIA,31.0,J. Butler,WAS,Butler 6' Driving Floating Jump Shot (5 PTS),Made Shot,Driving Floating Jump Shot,18,62,6,1,2.0,2.0,h
S2425-G0147,4,03:14,WAS,,MIA,,J. Butler,WAS,Butler Bad Pass Turnover (P1.T12),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0147,4,01:34,WAS,,MIA,,J. Butler,WAS,Butler STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0147,4,00:00.200000,WAS,,MIA,,J. Butler,WAS,MISS Butler 6' Driving Layup,Missed Shot,Driving Layup Shot,40,48,6,1,2.0,0.0,h
S2425-G0204,4,10:58,ORL,,WAS,,J. Butler,WAS,Butler S.FOUL (P1.T2) (G.Petraitis),Foul,Shooting,0,0,0,0,,,v
S2425-G0204,4,09:36,ORL,,WAS,,J. Butler,WAS,Butler P.FOUL (P2.T3) (M.Kallio),Foul,Personal,0,0,0,0,,,v
S2425-G0204,4,08:01,ORL,,WAS,,J. Butler,WAS,Butler S.FOUL (P3.T4) (M.Kallio),Foul,Shooting,0,0,0,0,,,v
S2425-G0204,4,08:01,ORL,,WAS,,J. Butler,WAS,SUB: Carrington FOR Butler,Substitution,,0,0,0,0,,,v
S2425-G0204,4,03:46,ORL,118.0,WAS,86.0,J. Butler,WAS,Butler Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0204,4,03:46,ORL,118.0,WAS,87.0,J. Butler,WAS,Butler Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0204,4,01:54,ORL,,WAS,,J. Butler,WAS,Butler BLOCK (1 BLK),,,0,0,0,0,,,v
S2425-G0204,4,01:36,ORL,,WAS,,J. Butler,WAS,MISS Butler Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2425-G0204,4,01:36,ORL,,WAS,,J. Butler,WAS,MISS Butler Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2425-G0204,4,01:30,ORL,,WAS,,J. Butler,WAS,Butler REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2425-G0204,4,01:29,ORL,118.0,WAS,91.0,J. Butler,WAS,Butler Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2425-G0204,4,01:29,ORL,118.0,WAS,92.0,J. Butler,WAS,Butler Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2425-G0121,1,02:15,WAS,29.0,ATL,29.0,J. Butler,WAS,Butler 6' Driving Floating Bank Jump Shot (2 PTS),Made Shot,Driving Floating Bank Jump Shot,-55,17,6,1,2.0,2.0,h
S2425-G0121,1,01:49,WAS,,ATL,,J. Butler,WAS,Butler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,2,11:54,WAS,,ATL,,J. Butler,WAS,Butler Bad Pass Turnover (P1.T7),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0121,2,11:31,WAS,,ATL,,J. Butler,WAS,MISS Butler 3' Driving Hook Shot,Missed Shot,Driving Hook Shot,27,12,3,1,2.0,0.0,h
S2425-G0121,2,09:15,WAS,,ATL,,J. Butler,WAS,Butler REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0121,2,07:19,WAS,,ATL,,J. Butler,WAS,SUB: Valančiūnas FOR Butler,Substitution,,0,0,0,0,,,h
S2425-G0073,4,03:41,WAS,92.0,BOS,117.0,J. Butler,WAS,Butler 4' Layup (2 PTS),Made Shot,Layup Shot,36,24,4,1,2.0,2.0,h
S2425-G0073,4,03:41,WAS,93.0,BOS,117.0,J. Butler,WAS,Butler Free Throw 1 of 1 (3 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0073,4,03:28,WAS,,BOS,,J. Butler,WAS,Butler STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0073,4,03:23,WAS,,BOS,,J. Butler,WAS,MISS Butler 3' Running Layup,Missed Shot,Running Layup Shot,28,-6,3,1,2.0,0.0,h
S2425-G0073,4,03:11,WAS,,BOS,,J. Butler,WAS,MISS Butler 3' Driving Layup,Missed Shot,Driving Layup Shot,-27,-2,3,1,2.0,0.0,h
S2425-G0073,4,03:06,WAS,,BOS,,J. Butler,WAS,MISS Butler 2' Layup,Missed Shot,Layup Shot,17,-1,2,1,2.0,0.0,h
S2425-G0073,4,02:17,WAS,95.0,BOS,119.0,J. Butler,WAS,Butler 2' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,-20,6,2,1,2.0,2.0,h
S2425-G0073,4,02:17,WAS,96.0,BOS,119.0,J. Butler,WAS,Butler Free Throw 1 of 1 (6 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0073,4,00:24.300000,WAS,,BOS,,J. Butler,WAS,MISS Butler 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,176,224,28,1,3.0,0.0,h
S2425-G0090,2,08:23,WAS,,CLE,,J. Butler,WAS,MISS Butler 6' Driving Layup,Missed Shot,Driving Layup Shot,-49,36,6,1,2.0,0.0,h
S2425-G0090,2,07:58,WAS,,CLE,,J. Butler,WAS,Butler STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0090,2,07:56,WAS,30.0,CLE,33.0,J. Butler,WAS,Butler 1' Running Layup (2 PTS),Made Shot,Running Layup Shot,-6,5,1,1,2.0,2.0,h
S2425-G0090,2,06:08,WAS,,CLE,,J. Butler,WAS,SUB: Carrington FOR Butler,Substitution,,0,0,0,0,,,h
S2425-G0090,4,04:10,WAS,106.0,CLE,124.0,J. Butler,WAS,Butler 6' Driving Finger Roll Layup (4 PTS),Made Shot,Driving Finger Roll Layup Shot,-20,57,6,1,2.0,2.0,h
S2425-G0090,4,03:28,WAS,,CLE,,J. Butler,WAS,Butler S.FOUL (P1.PN) (M.Boland),Foul,Shooting,0,0,0,0,,,h
S2425-G0090,4,02:40,WAS,,CLE,,J. Butler,WAS,Butler S.FOUL (P2.PN) (K.Cutler),Foul,Shooting,0,0,0,0,,,h
S2425-G0090,4,02:20,WAS,,CLE,,J. Butler,WAS,Butler BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0090,4,01:47,WAS,111.0,CLE,130.0,J. Butler,WAS,Butler 28' 3PT Jump Shot (7 PTS) (Davis 1 AST),Made Shot,Jump Shot,-26,277,28,1,3.0,3.0,h
S2425-G0090,4,01:36,WAS,,CLE,,J. Butler,WAS,Butler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0090,4,01:06,WAS,114.0,CLE,130.0,J. Butler,WAS,Butler Free Throw 1 of 2 (8 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0090,4,01:06,WAS,,CLE,,J. Butler,WAS,MISS Butler Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2425-G0155,2,04:03,WAS,,GSW,,J. Butler,WAS,MISS Butler 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,202,168,26,1,3.0,0.0,h
S2425-G0155,2,03:34,WAS,34.0,GSW,45.0,J. Butler,WAS,Butler 2' Running Layup (2 PTS) (Poole 2 AST),Made Shot,Running Layup Shot,-13,-10,2,1,2.0,2.0,h
S2425-G0155,2,03:24,WAS,,GSW,,J. Butler,WAS,SUB: Sarr FOR Butler,Substitution,,0,0,0,0,,,h
S2425-G0155,3,02:44,WAS,70.0,GSW,84.0,J. Butler,WAS,Butler 3' Driving Layup (4 PTS),Made Shot,Driving Layup Shot,33,11,3,1,2.0,2.0,h
S2425-G0155,3,02:16,WAS,72.0,GSW,86.0,J. Butler,WAS,Butler 14' Driving Floating Jump Shot (6 PTS) (Valančiūnas 6 AST),Made Shot,Driving Floating Jump Shot,-108,91,14,1,2.0,2.0,h
S2425-G0155,3,02:16,WAS,73.0,GSW,86.0,J. Butler,WAS,Butler Free Throw 1 of 1 (7 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2425-G0155,3,00:15.900000,WAS,,GSW,,J. Butler,WAS,SUB: Davis FOR Butler,Substitution,,0,0,0,0,,,h
S2425-G0155,4,05:45,WAS,,GSW,,J. Butler,WAS,SUB: Coulibaly FOR Butler,Substitution,,0,0,0,0,,,h
S2425-G0191,3,01:45,MEM,,WAS,,J. Butler,WAS,Butler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0191,3,01:10,MEM,,WAS,,J. Butler,WAS,MISS Butler 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-49,77,9,1,2.0,0.0,v
