game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G0071,1,11:38,MEM,2.0,NOP,0.0,X. Tillman,MEM,Tillman Cutting Dunk Shot (2 PTS) (Bane 1 AST),Made Shot,Cutting Dunk Shot,0,4,0,1,2.0,2.0,h
S2324-G0071,1,11:22,MEM,,NOP,,X. Tillman,MEM,Tillman S.FOUL (P1.T1) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2324-G0071,1,10:31,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,1,09:55,MEM,,NOP,,X. Tillman,MEM,MISS Tillman 26' 3PT Jump Shot,Missed Shot,Jump Shot,-142,223,26,1,3.0,0.0,h
S2324-G0071,1,08:47,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,1,06:51,MEM,15.0,NOP,14.0,X. Tillman,MEM,Tillman 6' Driving Layup (4 PTS) (Smart 2 AST),Made Shot,Driving Layup Shot,-48,36,6,1,2.0,2.0,h
S2324-G0071,1,06:36,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,1,06:00,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,1,06:00,MEM,16.0,NOP,14.0,X. Tillman,MEM,Tillman Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G0071,1,06:00,MEM,17.0,NOP,14.0,X. Tillman,MEM,Tillman Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2324-G0071,1,05:01,MEM,,NOP,,X. Tillman,MEM,Tillman STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0071,1,03:15,MEM,,NOP,,X. Tillman,MEM,Tillman BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0071,1,03:07,MEM,,NOP,,X. Tillman,MEM,MISS Tillman 3' Driving Layup,Missed Shot,Driving Layup Shot,29,16,3,1,2.0,0.0,h
S2324-G0071,1,02:18,MEM,,NOP,,X. Tillman,MEM,SUB: Jackson Jr. FOR Tillman,Substitution,,0,0,0,0,,,h
S2324-G0071,2,05:06,MEM,,NOP,,X. Tillman,MEM,MISS Tillman 3PT Jump Shot,Missed Shot,Jump Shot,-227,5,0,1,3.0,0.0,h
S2324-G0071,2,03:50,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,2,02:55,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,2,02:45,MEM,45.0,NOP,52.0,X. Tillman,MEM,Tillman 1' Cutting Layup Shot (8 PTS) (Bane 2 AST),Made Shot,Cutting Layup Shot,-5,12,1,1,2.0,2.0,h
S2324-G0071,2,00:00.200000,MEM,,NOP,,X. Tillman,MEM,MISS Tillman 26' 3PT Jump Shot,Missed Shot,Jump Shot,71,251,26,1,3.0,0.0,h
S2324-G0071,3,11:38,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,3,09:36,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:2 Def:6),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,3,08:59,MEM,,NOP,,X. Tillman,MEM,MISS Tillman 7' Floating Jump Shot,Missed Shot,Floating Jump shot,4,69,7,1,2.0,0.0,h
S2324-G0071,3,05:38,MEM,58.0,NOP,68.0,X. Tillman,MEM,Tillman 7' Driving Floating Jump Shot (10 PTS),Made Shot,Driving Floating Jump Shot,29,68,7,1,2.0,2.0,h
S2324-G0071,3,03:22,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:2 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,3,03:08,MEM,,NOP,,X. Tillman,MEM,SUB: Rose FOR Tillman,Substitution,,0,0,0,0,,,h
S2324-G0071,4,08:09,MEM,,NOP,,X. Tillman,MEM,MISS Tillman 2' Finger Roll Layup,Missed Shot,Finger Roll Layup Shot,-16,15,2,1,2.0,0.0,h
S2324-G0071,4,08:07,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:3 Def:7),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,4,08:06,MEM,,NOP,,X. Tillman,MEM,MISS Tillman 3' Putback Layup,Missed Shot,Putback Layup Shot,-26,17,3,1,2.0,0.0,h
S2324-G0071,4,07:49,MEM,,NOP,,X. Tillman,MEM,Tillman STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0071,4,06:51,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:3 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,4,06:44,MEM,,NOP,,X. Tillman,MEM,Tillman REBOUND (Off:4 Def:8),Rebound,Unknown,0,0,0,0,,,h
S2324-G0071,4,05:46,MEM,,NOP,,X. Tillman,MEM,MISS Tillman 3PT Jump Shot,Missed Shot,Jump Shot,234,-15,0,1,3.0,0.0,h
S2324-G0071,4,05:06,MEM,,NOP,,X. Tillman,MEM,Tillman S.FOUL (P2.T3) (C.Kirkland),Foul,Shooting,0,0,0,0,,,h
S2324-G0071,4,03:50,MEM,,NOP,,X. Tillman,MEM,MISS Tillman 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,-16,11,2,1,2.0,0.0,h
S2324-G0071,4,03:40,MEM,92.0,NOP,106.0,X. Tillman,MEM,Tillman 8' Driving Floating Bank Jump Shot (12 PTS),Made Shot,Driving Floating Bank Jump Shot,-71,35,8,1,2.0,2.0,h
S2324-G0071,4,03:06,MEM,95.0,NOP,109.0,X. Tillman,MEM,Tillman 24' 3PT Jump Shot (15 PTS) (Roddy 1 AST),Made Shot,Jump Shot,115,216,24,1,3.0,3.0,h
S2324-G0071,4,00:47.300000,MEM,,NOP,,X. Tillman,MEM,Tillman STEAL (3 STL),,,0,0,0,0,,,h
S2324-G0071,4,00:06.300000,MEM,104.0,NOP,111.0,X. Tillman,MEM,Tillman 1' Cutting Finger Roll Layup Shot (17 PTS) (Roddy 2 AST),Made Shot,Cutting Finger Roll Layup Shot,12,6,1,1,2.0,2.0,h
S2324-G0026,2,11:43,LAL,,MEM,,X. Tillman,MEM,Tillman S.FOUL (P1.T1) (B.Taylor),Foul,Shooting,0,0,0,0,,,v
S2324-G0026,2,11:29,LAL,,MEM,,X. Tillman,MEM,MISS Tillman 11' Floating Jump Shot,Missed Shot,Floating Jump shot,39,108,11,1,2.0,0.0,v
S2324-G0026,2,10:40,LAL,,MEM,,X. Tillman,MEM,Tillman STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0026,2,06:30,LAL,,MEM,,X. Tillman,MEM,SUB: Aldama FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0026,3,02:46,LAL,103.0,MEM,75.0,X. Tillman,MEM,Tillman 3PT Jump Shot (3 PTS) (Bane 5 AST),Made Shot,Jump Shot,-229,6,0,1,3.0,3.0,v
S2324-G0026,3,01:18,LAL,107.0,MEM,80.0,X. Tillman,MEM,Tillman 3' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,-6,27,3,1,2.0,2.0,v
S2324-G0026,3,00:00,LAL,107.0,MEM,86.0,X. Tillman,MEM,Tillman 27' 3PT Jump Shot (8 PTS) (Konchar 2 AST),Made Shot,Jump Shot,228,147,27,1,3.0,3.0,v
S2324-G0026,4,09:57,LAL,110.0,MEM,89.0,X. Tillman,MEM,Tillman 26' 3PT Jump Shot (11 PTS) (Konchar 3 AST),Made Shot,Jump Shot,-87,244,26,1,3.0,3.0,v
S2324-G0026,4,06:20,LAL,118.0,MEM,100.0,X. Tillman,MEM,Tillman 4' Driving Hook Shot (13 PTS) (Aldama 4 AST),Made Shot,Driving Hook Shot,-13,37,4,1,2.0,2.0,v
S2324-G0026,4,03:13,LAL,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0026,4,01:47,LAL,130.0,MEM,107.0,X. Tillman,MEM,Tillman 6' Turnaround Hook Shot (15 PTS),Made Shot,Turnaround Hook Shot,-16,57,6,1,2.0,2.0,v
S2324-G0026,4,00:53.600000,LAL,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0026,4,00:39.100000,LAL,,MEM,,X. Tillman,MEM,Tillman Out of Bounds - Bad Pass Turnover Turnover (P1.T9),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2324-G1011,1,10:31,DET,,BOS,,X. Tillman,BOS,Tillman REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G1011,1,06:20,DET,,BOS,,X. Tillman,BOS,Tillman REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G1011,1,05:28,DET,,BOS,,X. Tillman,BOS,Tillman S.FOUL (P1.T3) (M.Dagher),Foul,Shooting,0,0,0,0,,,v
S2324-G1011,1,04:13,DET,,BOS,,X. Tillman,BOS,SUB: Kornet FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G1011,3,01:50,DET,,BOS,,X. Tillman,BOS,Tillman REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1011,3,01:36,DET,,BOS,,X. Tillman,BOS,Tillman REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G1011,3,01:35,DET,,BOS,,X. Tillman,BOS,Tillman Bad Pass Turnover (P1.T6),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G1011,4,09:39,DET,,BOS,,X. Tillman,BOS,MISS Tillman 27' 3PT Jump Shot,Missed Shot,Jump Shot,168,209,27,1,3.0,0.0,v
S2324-G1011,4,05:39,DET,95.0,BOS,115.0,X. Tillman,BOS,Tillman 4' Cutting Layup Shot (2 PTS) (White 9 AST),Made Shot,Cutting Layup Shot,17,39,4,1,2.0,2.0,v
S2324-G1011,4,04:52,DET,,BOS,,X. Tillman,BOS,SUB: Brissett FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G1206,2,10:24,DET,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G1206,2,10:22,DET,31.0,MEM,37.0,X. Tillman,MEM,Tillman 5' Turnaround Hook Shot (2 PTS),Made Shot,Turnaround Hook Shot,-29,41,5,1,2.0,2.0,v
S2324-G1206,2,07:43,DET,,MEM,,X. Tillman,MEM,MISS Tillman 1' Running Dunk,Missed Shot,Running Dunk Shot,-5,-11,1,1,2.0,0.0,v
S2324-G1206,2,06:53,DET,,MEM,,X. Tillman,MEM,MISS Tillman 8' Jump Shot,Missed Shot,Jump Shot,-75,12,8,1,2.0,0.0,v
S2324-G1206,2,06:14,DET,,MEM,,X. Tillman,MEM,MISS Tillman 2' Driving Layup,Missed Shot,Driving Layup Shot,18,16,2,1,2.0,0.0,v
S2324-G1206,2,05:48,DET,,MEM,,X. Tillman,MEM,SUB: Biyombo FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0544,1,12:00,MEM,,NYK,,X. Tillman,MEM,Jump Ball Tillman vs. Hartenstein: Tip to Kennard,Jump Ball,,0,0,0,0,,,h
S2324-G0544,1,11:12,MEM,,NYK,,X. Tillman,MEM,Tillman STEAL (1 STL),,,0,0,0,0,,,h
S2324-G0544,1,09:49,MEM,,NYK,,X. Tillman,MEM,MISS Tillman 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-17,71,7,1,2.0,0.0,h
S2324-G0544,1,06:53,MEM,12.0,NYK,10.0,X. Tillman,MEM,Tillman 7' Floating Jump Shot (2 PTS) (Kennard 1 AST),Made Shot,Floating Jump shot,1,67,7,1,2.0,2.0,h
S2324-G0544,1,06:07,MEM,,NYK,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0544,1,05:27,MEM,,NYK,,X. Tillman,MEM,Tillman Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0544,1,04:41,MEM,,NYK,,X. Tillman,MEM,Tillman S.FOUL (P1.T3) (R.Acosta),Foul,Shooting,0,0,0,0,,,h
S2324-G0544,1,04:08,MEM,,NYK,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2324-G0544,1,02:47,MEM,,NYK,,X. Tillman,MEM,Tillman STEAL (2 STL),,,0,0,0,0,,,h
S2324-G0544,1,02:41,MEM,,NYK,,X. Tillman,MEM,MISS Tillman 3PT Running Jump Shot,Missed Shot,Running Jump Shot,228,3,0,1,3.0,0.0,h
S2324-G0544,1,01:45,MEM,,NYK,,X. Tillman,MEM,SUB: Roddy FOR Tillman,Substitution,,0,0,0,0,,,h
S2324-G0544,2,05:54,MEM,,NYK,,X. Tillman,MEM,MISS Tillman 9' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,6,85,9,1,2.0,0.0,h
S2324-G0544,2,05:32,MEM,,NYK,,X. Tillman,MEM,Tillman S.FOUL (P2.T1) (J.Conley),Foul,Shooting,0,0,0,0,,,h
S2324-G0544,2,04:55,MEM,,NYK,,X. Tillman,MEM,Tillman STEAL (3 STL),,,0,0,0,0,,,h
S2324-G0544,2,04:47,MEM,,NYK,,X. Tillman,MEM,Tillman STEAL (4 STL),,,0,0,0,0,,,h
S2324-G0544,2,02:09,MEM,51.0,NYK,47.0,X. Tillman,MEM,Tillman 1' Cutting Dunk Shot (4 PTS) (Williams Jr. 4 AST),Made Shot,Cutting Dunk Shot,-4,3,1,1,2.0,2.0,h
S2324-G0544,3,11:31,MEM,59.0,NYK,55.0,X. Tillman,MEM,Tillman 11' Floating Jump Shot (6 PTS) (Gilyard 5 AST),Made Shot,Floating Jump shot,20,112,11,1,2.0,2.0,h
S2324-G0544,3,09:42,MEM,,NYK,,X. Tillman,MEM,Tillman Bad Pass Turnover (P2.T6),Turnover,Bad Pass,0,0,0,0,,,h
S2324-G0544,3,08:44,MEM,,NYK,,X. Tillman,MEM,Tillman STEAL (5 STL),,,0,0,0,0,,,h
S2324-G0544,3,08:39,MEM,,NYK,,X. Tillman,MEM,MISS Tillman 25' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-125,221,25,1,3.0,0.0,h
S2324-G0544,3,07:44,MEM,,NYK,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2324-G0544,3,07:28,MEM,65.0,NYK,66.0,X. Tillman,MEM,Tillman 5' Turnaround Hook Shot (8 PTS) (Roddy 1 AST),Made Shot,Turnaround Hook Shot,22,44,5,1,2.0,2.0,h
S2324-G0544,3,06:39,MEM,,NYK,,X. Tillman,MEM,MISS Tillman 5' Driving Layup,Missed Shot,Driving Layup Shot,-18,48,5,1,2.0,0.0,h
S2324-G0544,3,05:58,MEM,,NYK,,X. Tillman,MEM,MISS Tillman 4' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,23,34,4,1,2.0,0.0,h
S2324-G0544,3,05:44,MEM,,NYK,,X. Tillman,MEM,Tillman S.FOUL (P3.T4) (J.Conley),Foul,Shooting,0,0,0,0,,,h
S2324-G0544,3,04:50,MEM,,NYK,,X. Tillman,MEM,Tillman STEAL (6 STL),,,0,0,0,0,,,h
S2324-G0544,3,04:45,MEM,69.0,NYK,71.0,X. Tillman,MEM,Tillman 1' Running Finger Roll Layup (10 PTS) (Williams Jr. 7 AST),Made Shot,Running Finger Roll Layup Shot,7,12,1,1,2.0,2.0,h
S2324-G0544,3,02:02,MEM,,NYK,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2324-G0544,3,01:55,MEM,,NYK,,X. Tillman,MEM,SUB: Kennard FOR Tillman,Substitution,,0,0,0,0,,,h
S2324-G0544,4,09:00,MEM,,NYK,,X. Tillman,MEM,MISS Tillman 10' Floating Jump Shot,Missed Shot,Floating Jump shot,-48,91,10,1,2.0,0.0,h
S2324-G0544,4,08:50,MEM,,NYK,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2324-G0544,4,08:36,MEM,,NYK,,X. Tillman,MEM,MISS Tillman 5' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,-40,28,5,1,2.0,0.0,h
S2324-G0544,4,07:20,MEM,,NYK,,X. Tillman,MEM,Tillman BLOCK (1 BLK),,,0,0,0,0,,,h
S2324-G0544,4,06:10,MEM,,NYK,,X. Tillman,MEM,Tillman P.FOUL (P4.T3) (R.Acosta),Foul,Personal,0,0,0,0,,,h
S2324-G0544,4,01:25,MEM,94.0,NYK,102.0,X. Tillman,MEM,Tillman 1' Cutting Dunk Shot (12 PTS) (Kennard 2 AST),Made Shot,Cutting Dunk Shot,0,12,1,1,2.0,2.0,h
S2324-G0544,4,00:29.700000,MEM,,NYK,,X. Tillman,MEM,MISS Tillman 5' Turnaround Bank Hook Shot,Missed Shot,Turnaround Bank Hook Shot,-29,36,5,1,2.0,0.0,h
S2324-G0007,1,06:11,POR,,MEM,,X. Tillman,MEM,Tillman S.FOUL (P1.T2) (A.Nagy),Foul,Shooting,0,0,0,0,,,v
S2324-G0007,1,05:31,POR,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2324-G0007,1,02:21,POR,,MEM,,X. Tillman,MEM,SUB: Bane FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0007,2,06:30,POR,,MEM,,X. Tillman,MEM,Tillman BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0007,2,05:53,POR,37.0,MEM,46.0,X. Tillman,MEM,Tillman 4' Driving Bank Hook Shot (2 PTS) (Bane 3 AST),Made Shot,Driving Bank Hook Shot,39,16,4,1,2.0,2.0,v
S2324-G0007,2,05:31,POR,,MEM,,X. Tillman,MEM,Tillman BLOCK (2 BLK),,,0,0,0,0,,,v
S2324-G0007,2,03:23,POR,47.0,MEM,50.0,X. Tillman,MEM,Tillman 1' Cutting Dunk Shot (4 PTS) (Bane 4 AST),Made Shot,Cutting Dunk Shot,-1,5,1,1,2.0,2.0,v
S2324-G0007,2,02:38,POR,,MEM,,X. Tillman,MEM,MISS Tillman 24' 3PT Jump Shot,Missed Shot,Jump Shot,-235,21,24,1,3.0,0.0,v
S2324-G0007,2,00:38.400000,POR,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0007,3,03:50,POR,,MEM,,X. Tillman,MEM,MISS Tillman 24' 3PT Jump Shot,Missed Shot,Jump Shot,233,40,24,1,3.0,0.0,v
S2324-G0007,3,00:54.600000,POR,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0007,3,00:30.400000,POR,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0007,3,00:10.900000,POR,,MEM,,X. Tillman,MEM,MISS Tillman 1' Reverse Layup,Missed Shot,Reverse Layup Shot,-11,-5,1,1,2.0,0.0,v
S2324-G0007,3,00:00.200000,POR,,MEM,,X. Tillman,MEM,Tillman S.FOUL (P2.T4) (J.Capers),Foul,Shooting,0,0,0,0,,,v
S2324-G0007,4,08:25,POR,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0007,4,06:30,POR,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2324-G0007,4,06:14,POR,87.0,MEM,91.0,X. Tillman,MEM,Tillman 1' Driving Dunk (6 PTS) (Kennard 2 AST),Made Shot,Driving Dunk Shot,7,0,1,1,2.0,2.0,v
S2324-G0007,4,05:21,POR,,MEM,,X. Tillman,MEM,Tillman S.FOUL (P3.T4) (B.Nansel),Foul,Shooting,0,0,0,0,,,v
S2324-G0007,4,05:17,POR,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:1 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2324-G0007,4,04:29,POR,,MEM,,X. Tillman,MEM,MISS Tillman 9' Floating Jump Shot,Missed Shot,Floating Jump shot,-69,51,9,1,2.0,0.0,v
S2324-G0007,4,04:21,POR,,MEM,,X. Tillman,MEM,SUB: Jackson Jr. FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0007,4,00:08.300000,POR,,MEM,,X. Tillman,MEM,SUB: Kennard FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0007,5,02:40,POR,,MEM,,X. Tillman,MEM,Tillman OFF.Foul (P4) (J.Capers),Foul,Offensive,0,0,0,0,,,v
S2324-G0007,5,02:40,POR,,MEM,,X. Tillman,MEM,Tillman Offensive Foul Turnover (P1.T16),Turnover,Offensive Foul Turnover,0,0,0,0,,,v
S2324-G0007,5,00:26.500000,POR,,MEM,,X. Tillman,MEM,MISS Tillman 2' Reverse Layup,Missed Shot,Reverse Layup Shot,-21,0,2,1,2.0,0.0,v
S2324-G0007,5,00:24.900000,POR,,MEM,,X. Tillman,MEM,Tillman Personal Take Foul (P5.PN) (B.Nansel),Foul,Personal Take,0,0,0,0,,,v
S2324-G0007,5,00:02.200000,POR,,MEM,,X. Tillman,MEM,Tillman STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0355,1,11:10,OKC,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2324-G0355,1,08:37,OKC,,MEM,,X. Tillman,MEM,Tillman Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G0355,1,08:27,OKC,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2324-G0355,1,07:26,OKC,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2324-G0355,1,07:02,OKC,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2324-G0355,1,05:50,OKC,,MEM,,X. Tillman,MEM,MISS Tillman 2' Layup,Missed Shot,Layup Shot,-22,1,2,1,2.0,0.0,v
S2324-G0355,1,05:21,OKC,,MEM,,X. Tillman,MEM,MISS Tillman 3' Layup,Missed Shot,Layup Shot,11,24,3,1,2.0,0.0,v
S2324-G0355,1,03:19,OKC,,MEM,,X. Tillman,MEM,MISS Tillman 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-230,-17,0,1,3.0,0.0,v
S2324-G0355,1,02:59,OKC,,MEM,,X. Tillman,MEM,SUB: Jackson Jr. FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0355,2,05:55,OKC,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:5),Rebound,Unknown,0,0,0,0,,,v
S2324-G0355,2,04:42,OKC,,MEM,,X. Tillman,MEM,MISS Tillman 9' Floating Jump Shot,Missed Shot,Floating Jump shot,-53,73,9,1,2.0,0.0,v
S2324-G0355,2,03:21,OKC,,MEM,,X. Tillman,MEM,Tillman STEAL (1 STL),,,0,0,0,0,,,v
S2324-G0355,2,02:43,OKC,,MEM,,X. Tillman,MEM,MISS Tillman 24' 3PT Jump Shot,Missed Shot,Jump Shot,235,47,24,1,3.0,0.0,v
S2324-G0355,2,02:12,OKC,,MEM,,X. Tillman,MEM,SUB: Jackson Jr. FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0355,3,10:50,OKC,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:6),Rebound,Unknown,0,0,0,0,,,v
S2324-G0355,3,10:36,OKC,,MEM,,X. Tillman,MEM,MISS Tillman 3PT Jump Shot,Missed Shot,Jump Shot,-227,-22,0,1,3.0,0.0,v
S2324-G0355,3,10:03,OKC,,MEM,,X. Tillman,MEM,MISS Tillman 11' Jump Shot,Missed Shot,Jump Shot,29,111,11,1,2.0,0.0,v
S2324-G0355,3,09:25,OKC,,MEM,,X. Tillman,MEM,Tillman L.B.FOUL (P1.T2) (S.Wright),Foul,Loose Ball,0,0,0,0,,,v
S2324-G0355,3,09:01,OKC,,MEM,,X. Tillman,MEM,MISS Tillman 1' Running Layup,Missed Shot,Running Layup Shot,-11,7,1,1,2.0,0.0,v
S2324-G0355,3,08:55,OKC,,MEM,,X. Tillman,MEM,SUB: Aldama FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0355,4,10:30,OKC,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:7),Rebound,Unknown,0,0,0,0,,,v
S2324-G0355,4,08:27,OKC,,MEM,,X. Tillman,MEM,Tillman BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0355,4,08:24,OKC,,MEM,,X. Tillman,MEM,Tillman REBOUND (Off:0 Def:8),Rebound,Unknown,0,0,0,0,,,v
S2324-G0355,4,07:18,OKC,,MEM,,X. Tillman,MEM,SUB: Roddy FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0288,1,04:42,PHX,16.0,MEM,16.0,X. Tillman,MEM,Tillman 7' Driving Hook Shot (2 PTS) (Bane 2 AST),Made Shot,Driving Hook Shot,-37,62,7,1,2.0,2.0,v
S2324-G0288,1,02:54,PHX,,MEM,,X. Tillman,MEM,MISS Tillman 27' 3PT Jump Shot,Missed Shot,Jump Shot,125,237,27,1,3.0,0.0,v
S2324-G0288,1,02:00,PHX,,MEM,,X. Tillman,MEM,Tillman BLOCK (1 BLK),,,0,0,0,0,,,v
S2324-G0288,2,11:02,PHX,,MEM,,X. Tillman,MEM,MISS Tillman 24' 3PT Jump Shot,Missed Shot,Jump Shot,-241,-29,24,1,3.0,0.0,v
S2324-G0288,2,08:26,PHX,,MEM,,X. Tillman,MEM,MISS Tillman 1' Layup,Missed Shot,Layup Shot,-4,12,1,1,2.0,0.0,v
S2324-G0288,2,08:10,PHX,,MEM,,X. Tillman,MEM,SUB: Aldama FOR Tillman,Substitution,,0,0,0,0,,,v
S2324-G0288,3,01:57,PHX,,MEM,,X. Tillman,MEM,Tillman Bad Pass Turnover (P1.T15),Turnover,Bad Pass,0,0,0,0,,,v
S2324-G1134,2,06:19,BOS,51.0,POR,40.0,X. Tillman,BOS,Tillman 4' Dunk (2 PTS) (Holiday 1 AST),Made Shot,Dunk Shot,-28,26,4,1,2.0,2.0,h
S2324-G1134,2,05:01,BOS,,POR,,X. Tillman,BOS,MISS Tillman 3' Layup,Missed Shot,Layup Shot,31,13,3,1,2.0,0.0,h
