game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2324-G1027,1,00:06.100000,DET,,NOP,,M. Flynn,DET,MISS Flynn 27' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-132,239,27,1,3.0,0.0,h
S2324-G1027,2,11:23,DET,13.0,NOP,29.0,M. Flynn,DET,Flynn 27' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,-125,239,27,1,3.0,3.0,h
S2324-G1027,2,09:07,DET,,NOP,,M. Flynn,DET,MISS Flynn 29' 3PT Jump Shot,Missed Shot,Jump Shot,130,255,29,1,3.0,0.0,h
S2324-G1027,2,09:03,DET,,NOP,,M. Flynn,DET,SUB: Evbuomwan FOR Flynn,Substitution,,0,0,0,0,,,h
S2324-G1027,3,05:02,DET,,NOP,,M. Flynn,DET,Flynn STEAL (1 STL),,,0,0,0,0,,,h
S2324-G1027,3,03:52,DET,,NOP,,M. Flynn,DET,MISS Flynn 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,29,131,13,1,2.0,0.0,h
S2324-G1027,3,02:52,DET,,NOP,,M. Flynn,DET,MISS Flynn 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,223,128,26,1,3.0,0.0,h
S2324-G1027,3,01:45,DET,61.0,NOP,78.0,M. Flynn,DET,Flynn 6' Driving Floating Jump Shot (5 PTS),Made Shot,Driving Floating Jump Shot,-20,59,6,1,2.0,2.0,h
S2324-G1027,3,01:27,DET,62.0,NOP,81.0,M. Flynn,DET,Flynn Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2324-G1027,3,01:27,DET,,NOP,,M. Flynn,DET,MISS Flynn Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2324-G1027,3,01:24,DET,,NOP,,M. Flynn,DET,Flynn REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1027,3,01:18,DET,,NOP,,M. Flynn,DET,MISS Flynn 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-183,211,28,1,3.0,0.0,h
S2324-G1027,3,01:01,DET,,NOP,,M. Flynn,DET,Flynn REBOUND (Off:2 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1027,4,09:09,DET,,NOP,,M. Flynn,DET,MISS Flynn 15' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-78,131,15,1,2.0,0.0,h
S2324-G1027,4,09:09,DET,,NOP,,M. Flynn,DET,Flynn REBOUND (Off:3 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2324-G1027,4,05:45,DET,,NOP,,M. Flynn,DET,Flynn REBOUND (Off:3 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G1027,4,05:27,DET,84.0,NOP,98.0,M. Flynn,DET,Flynn 27' 3PT Jump Shot (9 PTS) (Evbuomwan 1 AST),Made Shot,Jump Shot,-186,190,27,1,3.0,3.0,h
S2324-G1027,4,04:15,DET,86.0,NOP,104.0,M. Flynn,DET,Flynn 19' Pullup Jump Shot (11 PTS),Made Shot,Pullup Jump shot,107,163,19,1,2.0,2.0,h
S2324-G1027,4,03:33,DET,88.0,NOP,107.0,M. Flynn,DET,Flynn 3' Driving Layup (13 PTS),Made Shot,Driving Layup Shot,29,5,3,1,2.0,2.0,h
S2324-G1027,4,03:33,DET,89.0,NOP,107.0,M. Flynn,DET,Flynn Free Throw 1 of 1 (14 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2324-G1027,4,02:26,DET,95.0,NOP,108.0,M. Flynn,DET,Flynn 3PT Jump Shot (17 PTS) (Brown Jr. 1 AST),Made Shot,Jump Shot,-234,7,0,1,3.0,3.0,h
S2324-G0354,1,03:57,TOR,,CHA,,M. Flynn,TOR,Flynn REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2324-G0354,1,01:40,TOR,,CHA,,M. Flynn,TOR,MISS Flynn 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-229,-10,0,1,3.0,0.0,h
S2324-G0354,2,04:39,TOR,,CHA,,M. Flynn,TOR,SUB: Schroder FOR Flynn,Substitution,,0,0,0,0,,,h
S2324-G0354,3,02:22,TOR,75.0,CHA,74.0,M. Flynn,TOR,Flynn 2' Cutting Layup Shot (2 PTS) (Siakam 6 AST),Made Shot,Cutting Layup Shot,9,13,2,1,2.0,2.0,h
S2324-G0354,3,01:43,TOR,,CHA,,M. Flynn,TOR,MISS Flynn 3' Layup,Missed Shot,Layup Shot,15,25,3,1,2.0,0.0,h
S2324-G0354,3,00:30.300000,TOR,,CHA,,M. Flynn,TOR,MISS Flynn 26' 3PT Jump Shot,Missed Shot,Jump Shot,-165,207,26,1,3.0,0.0,h
